"SoilTemp2","SoilTemp1","Humd","Temp","Light","Soil2","Soil1"
31.375,31.3125,66,33.299999,1,0,0
31.375,31.3125,66,33.299999,1,0,0
31.375,31.3125,66,33.299999,1,0,0
31.375,31.3125,66,33.299999,1,0,0
31.375,31.3125,66,33.299999,1,0,0
31.375,31.3125,66,33.299999,1,0,0
31.375,31.3125,66,33.299999,1,0,0
31.375,31.3125,66,33.299999,1,0,0
31.375,31.3125,66,33.299999,1,0,0
31.375,31.3125,66,33.299999,1,0,0
31.375,31.3125,66,33.299999,1,0,0
31.375,31.3125,66,33.299999,1,0,0
31.375,31.375,66,33.299999,1,0,0
31.375,31.3125,66,33.299999,2,0,0
31.375,31.3125,66,33.299999,1,0,0
31.375,31.3125,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,100,0
31.5,31.3125,66,33.299999,1,0,0
31.5,31.3125,66,33.299999,1,0,0
31.5,31.3125,66,33.299999,1,0,100
31.5,31.3125,66,33.299999,1,0,0
31.4375,31.3125,66,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.375,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.375,31.3125,64,33.299999,1,0,0
31.4375,31.3125,64,33.299999,1,0,0
31.375,31.3125,64,33.299999,1,0,0
31.4375,31.3125,64,33.299999,1,0,0
31.4375,31.3125,64,33.299999,1,0,0
31.4375,31.3125,64,33.299999,1,0,0
31.4375,31.3125,64,33.299999,1,0,0
31.4375,31.3125,64,33.299999,1,0,0
31.4375,31.375,64,33.299999,1,0,0
31.4375,31.375,64,33.299999,1,0,0
31.4375,31.3125,64,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.375,65,33.299999,1,0,0
31.4375,31.375,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.375,31.375,65,33.299999,1,0,0
31.4375,31.375,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.4375,31.3125,65,33.299999,1,0,0
31.375,31.3125,64,33.299999,1,0,0
31.4375,31.375,65,33.299999,1,0,0
31.4375,31.375,65,33.299999,1,0,0
31.4375,31.375,65,33.299999,1,0,0
31.4375,31.375,65,33.299999,1,0,0
31.4375,31.375,65,33.299999,1,0,0
31.4375,31.375,65,33.299999,1,0,0
31.4375,31.375,65,33.299999,1,0,0
31.5,31.375,65,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.5,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.5,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.5,31.375,66,33.299999,1,0,0
31.5,31.375,66,33.299999,1,0,0
31.5,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.4375,31.3125,66,33.299999,1,0,0
31.5,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.5,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.4375,31.375,67,33.299999,1,0,0
31.5,31.375,66,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
