SoilTemp1,SoilTemp2,Humd,Temp,Light,Soil1,Soil2,createdAt
28,27.5,74,28,9,41,51,22/02/2022 04:36
28,27.5,74,28,9,41,51,22/02/2022 04:36
28,27.5,74,28,9,41,51,22/02/2022 04:36
28,27.5,74,28,9,41,51,22/02/2022 04:36
28,27.5,74,28,9,41,51,22/02/2022 04:36
28,27.5,74,28,9,41,51,22/02/2022 04:36
28,27.5,74,28,9,41,51,22/02/2022 04:36
28,27.5,74,28,9,41,51,22/02/2022 04:36
28,27.5,74,28,9,41,51,22/02/2022 04:35
28,27.5,74,28,9,41,51,22/02/2022 04:35
28,27.5,74,28,9,41,51,22/02/2022 04:35
28,27.5,74,28,9,41,51,22/02/2022 04:35
28,27.5,74,28,9,41,51,22/02/2022 04:35
28,27.5,74,28,9,41,51,22/02/2022 04:35
28,27.5,74,28,9,41,51,22/02/2022 04:35
28,27.5,74,28,9,41,51,22/02/2022 04:35
28,27.5,74,28,9,41,51,22/02/2022 04:35
28,27.5,74,28,9,41,51,22/02/2022 04:35
28,27.5,74,28,9,41,51,22/02/2022 04:35
28,27.5,74,28,9,41,51,22/02/2022 04:35
28,27.5,74,28,9,41,51,22/02/2022 04:35
28,27.5,74,28,9,41,51,22/02/2022 04:34
28,27.5,74,28,9,41,51,22/02/2022 04:34
28,27.5,74,28,9,41,51,22/02/2022 04:34
28,27.5,74,28,9,41,51,22/02/2022 04:34
28,27.5,74,28,9,41,51,22/02/2022 04:34
28,27.5,74,28,9,41,51,22/02/2022 04:34
28,27.5,74,28,9,41,51,22/02/2022 04:34
28,27.5,74,28,9,41,51,22/02/2022 04:34
28,27.5,74,28,9,41,51,22/02/2022 04:34
28,27.5,74,28,9,41,51,22/02/2022 04:34
28,27.5,74,28,9,41,51,22/02/2022 04:34
28,27.5,74,28,9,41,51,22/02/2022 04:34
28,27.5,74,28,9,41,51,22/02/2022 04:34
28,27.5,74,28,9,41,51,22/02/2022 04:33
28,27.5,74,28,9,41,51,22/02/2022 04:33
28,27.5,74,28,9,41,51,22/02/2022 04:33
28,27.5,74,28,9,41,51,22/02/2022 04:33
28,27.5,74,28,9,41,51,22/02/2022 04:33
28,27.5,74,28,9,41,51,22/02/2022 04:33
28,27.5,74,28,9,41,51,22/02/2022 04:33
28,27.5,74,28,9,41,51,22/02/2022 04:33
28,27.5,74,28,9,41,51,22/02/2022 04:33
28,27.5,74,28,9,41,51,22/02/2022 04:33
28,27.5,74,28,9,41,51,22/02/2022 04:33
28,27.5,74,28,9,41,51,22/02/2022 04:33
28,27.5,74,28,9,41,51,22/02/2022 04:33
28,27.5,74,28,9,41,51,22/02/2022 04:32
28,27.5,74,28,9,41,51,22/02/2022 04:32
28,27.5,74,28,9,41,51,22/02/2022 04:32
28,27.5,74,28,9,41,51,22/02/2022 04:32
28,27.5,74,28,9,41,51,22/02/2022 04:32
28,27.5,74,28,9,41,51,22/02/2022 04:32
28,27.5,74,28,9,41,51,22/02/2022 04:32
28,27.5,74,28,9,41,51,22/02/2022 04:32
28,27.5,74,28,9,41,51,22/02/2022 04:32
28,27.5,74,28,9,41,51,22/02/2022 04:32
28,27.5,74,28,9,41,51,22/02/2022 04:32
28,27.5,74,28,9,41,51,22/02/2022 04:32
28,27.5,74,28,9,41,51,22/02/2022 04:32
28,27.5,74,28,9,41,51,22/02/2022 04:31
28,27.5,74,28,9,41,51,22/02/2022 04:31
28,27.5,74,28,9,41,51,22/02/2022 04:31
28,27.5,74,28,9,41,51,22/02/2022 04:31
28,27.5,74,28,9,41,51,22/02/2022 04:31
28,27.5,74,28,9,41,51,22/02/2022 04:31
28,27.5,74,28,9,41,51,22/02/2022 04:31
28,27.5,74,28,9,41,51,22/02/2022 04:31
28,27.5,74,28,9,41,51,22/02/2022 04:31
28,27.5,74,28,9,41,51,22/02/2022 04:31
28,27.5,74,28,9,41,51,22/02/2022 04:31
28,27.5,74,28,9,41,51,22/02/2022 04:31
28,27.5,74,28,9,41,51,22/02/2022 04:30
28,27.5,74,28,9,41,51,22/02/2022 04:30
28,27.5,74,28,9,41,51,22/02/2022 04:30
28,27.5,74,28,9,41,51,22/02/2022 04:30
28,27.5,74,28,9,41,51,22/02/2022 04:30
28,27.5,74,28,9,41,51,22/02/2022 04:30
28,27.5,74,28,9,41,51,22/02/2022 04:30
28,27.5,74,28,9,41,51,22/02/2022 04:30
28,27.5,74,28,9,41,51,22/02/2022 04:30
28,27.5,74,28,9,41,51,22/02/2022 04:30
28,27.5,74,28,9,41,51,22/02/2022 04:30
28,27.5,74,28,9,41,51,22/02/2022 04:30
28,27.5,74,28,9,41,51,22/02/2022 04:29
28,27.5,74,28,9,41,51,22/02/2022 04:29
28,27.5,74,28,9,41,51,22/02/2022 04:29
28,27.5,74,28,9,41,51,22/02/2022 04:29
28,27.5,74,28,9,41,51,22/02/2022 04:29
28,27.5,74,28,9,41,51,22/02/2022 04:29
28,27.5,74,28,9,41,51,22/02/2022 04:29
28,27.5,74,28,9,41,51,22/02/2022 04:29
28,27.5,74,28,9,41,51,22/02/2022 04:29
28,27.5,74,28,9,41,51,22/02/2022 04:29
28,27.5,74,28,9,41,51,22/02/2022 04:29
28,27.5,74,28,9,41,51,22/02/2022 04:29
28,27.5,74,28,9,41,51,22/02/2022 04:28
28,27.5,74,28,9,41,51,22/02/2022 04:28
28,27.5,74,28,9,41,51,22/02/2022 04:28
28,27.5,74,28,9,41,51,22/02/2022 04:28
