"SoilTemp2","SoilTemp1","Humd","Temp","Light","Soil2","Soil1"
31.5,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.4375,31.3125,66,33.299999,1,0,0
31.5,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.5,31.375,66,33.299999,1,0,0
31.4375,31.375,66,33.299999,1,0,0
31.4375,31.375,67,33.299999,1,0,0
31.5,31.375,66,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,67,33.299999,1,0,0
31.5,31.375,68,33.299999,1,0,0
31.5,31.375,68,33.299999,1,0,0
31.5,31.375,68,33.299999,1,0,0
31.5,31.375,68,33.299999,1,0,0
31.5,31.375,68,33.299999,1,0,0
31.5,31.375,68,33.299999,1,0,0
31.5,31.375,68,33.299999,1,0,0
31.5,31.375,68,33.299999,1,0,0
31.5,31.375,68,33.299999,1,0,0
31.5,31.375,68,33.299999,1,0,0
31.5,31.375,68,33.299999,1,0,0
31.5,31.375,68,33.299999,1,0,0
31.5,31.375,68,33.299999,1,0,0
31.5,31.375,68,33.299999,1,0,0
31.5,31.375,69,33.299999,1,0,0
31.5,31.375,69,33.299999,1,0,0
31.5,31.375,69,33.299999,1,0,0
31.5,31.375,69,33.299999,1,0,0
31.5,31.375,69,33.299999,1,0,0
31.5,31.375,69,33.299999,1,0,0
31.5,31.375,69,33.299999,1,0,0
31.5,31.375,69,33.299999,1,0,0
31.5,31.375,69,33.299999,1,0,0
31.5,31.375,70,33.299999,1,0,0
31.5,31.375,70,33.299999,1,0,0
31.5,31.375,70,33.299999,1,0,0
31.5,31.375,70,33.299999,1,0,0
31.5,31.375,70,33.299999,1,0,0
31.5,31.375,70,33.299999,1,0,0
31.5,31.375,70,33.299999,1,0,0
31.5,31.375,70,33.299999,1,0,0
31.5,31.375,70,33.299999,1,0,0
31.5,31.375,70,33.299999,1,0,0
31.5,31.375,70,33.299999,1,0,0
31.5,31.375,70,33.299999,1,0,0
31.5,31.375,70,33.299999,1,0,0
31.5,31.375,71,33.299999,1,0,0
31.5,31.4375,71,33.299999,1,0,0
31.5,31.4375,71,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,73,33.299999,1,0,0
31.5625,31.4375,73,33.299999,1,0,0
31.5,31.375,73,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.3125,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.3125,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.4375,31.375,72,33.299999,1,0,0
31.5,31.375,72,33.299999,1,0,0
31.4375,31.3125,72,33.299999,1,0,0
31.4375,31.375,72,33.299999,1,0,0
31.4375,31.3125,72,33.299999,1,0,0
31.4375,31.3125,72,33.299999,1,0,0
31.4375,31.3125,72,33.299999,1,0,0
31.4375,31.3125,72,33.299999,1,0,0
31.4375,31.3125,72,33.299999,1,0,0
31.4375,31.3125,72,33.299999,1,0,0
31.4375,31.3125,72,33.299999,1,0,0
31.4375,31.3125,71,33.299999,1,0,0
31.375,31.3125,71,33.299999,1,0,0
31.4375,31.3125,71,33.299999,1,0,0
31.4375,31.3125,71,33.299999,1,0,0
31.4375,31.3125,72,33.299999,1,0,0
31.4375,31.3125,72,33.299999,1,0,0
31.4375,31.3125,73,33.299999,1,0,0
31.4375,31.3125,73,33.299999,1,0,0
